%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9
1595768233319499877,17355,1595768233320283096,base_link,391,391,470,367,1044,602,734,575,451,380
1595768233361485850,17356,1595768233362283096,base_link,391,391,470,367,1055,612,744,569,517,375
1595768233401100217,17357,1595768233403283096,base_link,388,391,471,369,1056,602,755,580,447,375
1595768233448574835,17358,1595768233442444932,base_link,391,391,471,358,1045,602,734,569,435,364
1595768233489884144,17359,1595768233482444932,base_link,391,391,471,358,1045,602,744,550,415,364
1595768233523472166,17360,1595768233522444932,base_link,390,390,481,356,1055,611,754,558,424,373
1595768233564562097,17361,1595768233563444932,base_link,390,378,459,356,1058,635,737,593,449,388
1595768233605332063,17362,1595768233603444932,base_link,391,391,471,358,1045,602,734,559,506,391
1595768233647127529,17363,1595768233643444932,base_link,390,390,459,367,1058,615,737,572,439,379
1595768233684783095,17364,1595768233683444932,base_link,390,390,469,367,1054,611,733,568,434,364
1595768233724850875,17365,1595768233725444932,base_link,391,391,470,367,1065,602,744,575,522,389
1595768233767390073,17366,1595768233765444932,base_link,391,391,461,357,1034,602,744,575,430,379
1595768233806335941,17367,1595768233805444932,base_link,390,390,459,356,1048,625,747,583,449,377
1595768233846647982,17368,1595768233846444932,base_link,391,391,471,368,1055,602,734,559,435,382
1595768233887544014,17369,1595768233887444932,base_link,391,391,471,367,1055,602,734,585,451,380
1595768233927424390,17370,1595768233928444932,base_link,391,391,460,358,1055,622,744,579,435,374
1595768233969968532,17371,1595768233968444932,base_link,391,391,471,357,1044,602,745,564,430,379
1595768234010190116,17372,1595768234008444932,base_link,389,389,472,356,1047,614,747,582,499,386
1595768234049762234,17373,1595768234049444932,base_link,391,391,471,368,1055,612,734,579,435,375
1595768234091107942,17374,1595768234090444932,base_link,390,390,469,367,1044,611,734,568,424,373
1595768234129946987,17375,1595768234130444932,base_link,389,377,472,356,1057,614,736,582,530,387
