time,header.seq,header.stamp,header.frame_id,field.bump_bits
1.57989955307062E+018,27734,1.57989955307309E+018,base_link,2048
1.57989955307359E+018,27735,1.57989955307609E+018,base_link,0
1.579899553087E+018,27736,1.57989955309009E+018,base_link,16384
1.57989955308988E+018,27737,1.57989955309109E+018,base_link,0
1.57989955309895E+018,27738,1.57989955310109E+018,base_link,2048
1.57989955310119E+018,27739,1.57989955310309E+018,base_link,0
1.5798995531148E+018,27740,1.57989955311709E+018,base_link,1
1.57989955312026E+018,27741,1.57989955311909E+018,base_link,0
1.57989955312262E+018,27742,1.57989955312309E+018,base_link,2
1.5798995531246E+018,27743,1.57989955312609E+018,base_link,0
1.57989955312655E+018,27744,1.57989955313209E+018,base_link,128
1.57989955313123E+018,27745,1.5798995531322E+018,base_link,0
1.57989955313794E+018,27746,1.5798995531382E+018,base_link,1024
1.57989955314225E+018,27747,1.5798995531392E+018,base_link,0
1.57989955314426E+018,27748,1.5798995531422E+018,base_link,16384
1.57989955314669E+018,27749,1.5798995531432E+018,base_link,0
1.57989955316587E+018,27750,1.5798995531662E+018,base_link,2048
1.57989955316812E+018,27751,1.5798995531682E+018,base_link,0
1.5798995531706E+018,27752,1.5798995531692E+018,base_link,32768
1.57989955317352E+018,27753,1.5798995531712E+018,base_link,0
1.5798995531771E+018,27754,1.5798995531752E+018,base_link,512
1.57989955318155E+018,27755,1.5798995531762E+018,base_link,0
1.57989955321622E+018,27756,1.5798995532172E+018,base_link,16384
1.57989955321887E+018,27757,1.5798995532192E+018,base_link,128
1.57989955322481E+018,27758,1.5798995532202E+018,base_link,0
1.57989955322542E+018,27759,1.5798995532242E+018,base_link,32768
1.57989955322743E+018,27760,1.5798995532252E+018,base_link,0
1.57989955323138E+018,27761,1.5798995532282E+018,base_link,2
1.57989955324112E+018,27762,1.5798995532362E+018,base_link,0
1.57989955325025E+018,27763,1.5798995532482E+018,base_link,256
1.57989955325241E+018,27764,1.5798995532512E+018,base_link,0
1.5798995532573E+018,27765,1.5798995532522E+018,base_link,16
1.57989955326293E+018,27766,1.5798995532542E+018,base_link,0
1.57989955328976E+018,27767,1.5798995532892E+018,base_link,16384
1.5798995532919E+018,27768,1.5798995532912E+018,base_link,0
1.5798995533169E+018,27769,1.5798995533182E+018,base_link,8192
1.5798995533215E+018,27770,1.5798995533212E+018,base_link,0
1.57989955332944E+018,27771,1.5798995533282E+018,base_link,4096
1.57989955333018E+018,27772,1.5798995533292E+018,base_link,0
1.57989955333808E+018,27773,1.5798995533382E+018,base_link,16384
1.57989955334023E+018,27774,1.5798995533402E+018,base_link,0
1.57989955334699E+018,27775,1.5798995533482E+018,base_link,4
1.57989955334933E+018,27776,1.5798995533492E+018,base_link,0
1.57989955335209E+018,27777,1.5798995533512E+018,base_link,2
1.57989955335532E+018,27778,1.5798995533532E+018,base_link,0
1.57989955336887E+018,27779,1.5798995533702E+018,base_link,2048
1.57989955337228E+018,27780,1.5798995533712E+018,base_link,0
1.57989955338039E+018,27781,1.5798995533812E+018,base_link,4
1.57989955338272E+018,27782,1.5798995533822E+018,base_link,0
1.57989955338836E+018,27783,1.5798995533862E+018,base_link,16
1.57989955339073E+018,27784,1.5798995533872E+018,base_link,0
1.57989955340866E+018,27785,1.5798995534092E+018,base_link,128
1.57989955341315E+018,27786,1.5798995534112E+018,base_link,0
1.57989955341617E+018,27787,1.5798995534172E+018,base_link,512
1.57989955341907E+018,27788,1.5798995534182E+018,base_link,0
1.57989955345615E+018,27789,1.5798995534562E+018,base_link,16384
1.5798995534582E+018,27790,1.5798995534582E+018,base_link,0
1.57989955346823E+018,27791,1.5798995534702E+018,base_link,32
1.57989955347089E+018,27792,1.5798995534712E+018,base_link,0
1.57989955349174E+018,27793,1.5798995534932E+018,base_link,2048
1.57989955349447E+018,27794,1.5798995534942E+018,base_link,0
1.57989955349758E+018,27795,1.5798995534962E+018,base_link,8192
1.57989955350087E+018,27796,1.5798995534972E+018,base_link,0
1.5798995535034E+018,27797,1.5798995535022E+018,base_link,16
1.57989955350842E+018,27798,1.5798995535042E+018,base_link,0
1.57989955351567E+018,27799,1.5798995535172E+018,base_link,1024
1.57989955351935E+018,27800,1.5798995535182E+018,base_link,0
1.57989955352644E+018,27801,1.5798995535262E+018,base_link,12288
1.57989955352907E+018,27802,1.5798995535292E+018,base_link,0
1.57989955353406E+018,27803,1.5798995535332E+018,base_link,512
1.57989955353644E+018,27804,1.5798995535342E+018,base_link,0
1.57989955355073E+018,27805,1.5798995535522E+018,base_link,4096
1.57989955355316E+018,27806,1.5798995535542E+018,base_link,0
1.57989955357853E+018,27807,1.5798995535752E+018,base_link,2048
1.57989955357855E+018,27808,1.5798995535772E+018,base_link,0
1.57989955362882E+018,27809,1.5798995536302E+018,base_link,36864
1.57989955363204E+018,27810,1.5798995536312E+018,base_link,0
1.57989955363469E+018,27811,1.5798995536332E+018,base_link,4
1.57989955363771E+018,27812,1.5798995536352E+018,base_link,0
1.57989955365399E+018,27813,1.5798995536512E+018,base_link,64
1.57989955365589E+018,27814,1.5798995536532E+018,base_link,0
1.57989955367017E+018,27815,1.5798995536712E+018,base_link,2048
1.57989955367449E+018,27816,1.5798995536722E+018,base_link,0
1.57989955368112E+018,27817,1.5798995536822E+018,base_link,16384
1.57989955368834E+018,27818,1.5798995536872E+018,base_link,0
1.57989955369731E+018,27819,1.5798995536972E+018,base_link,512
1.57989955370185E+018,27820,1.5798995536992E+018,base_link,0
1.57989955370395E+018,27821,1.5798995537052E+018,base_link,64
1.57989955370697E+018,27822,1.5798995537062E+018,base_link,0
1.57989955373546E+018,27823,1.5798995537362E+018,base_link,32
1.57989955373761E+018,27824,1.5798995537382E+018,base_link,0
1.5798995537447E+018,27825,1.5798995537462E+018,base_link,16384
1.57989955374789E+018,27826,1.5798995537472E+018,base_link,128
1.57989955375229E+018,27827,1.5798995537492E+018,base_link,0
1.57989955377278E+018,27828,1.5798995537702E+018,base_link,32768
1.57989955377279E+018,27829,1.5798995537722E+018,base_link,0
1.57989955378379E+018,27830,1.5798995537842E+018,base_link,1
1.57989955378678E+018,27831,1.5798995537852E+018,base_link,0
1.579899553819E+018,27832,1.5798995538212E+018,base_link,512
1.57989955382158E+018,27833,1.5798995538222E+018,base_link,0
1.57989955382563E+018,27834,1.5798995538242E+018,base_link,4
1.57989955382784E+018,27835,1.5798995538262E+018,base_link,0
1.57989955386204E+018,27836,1.5798995538622E+018,base_link,16384
1.57989955386354E+018,27837,1.5798995538642E+018,base_link,0
1.57989955386711E+018,27838,1.5798995538682E+018,base_link,8
1.5798995538723E+018,27839,1.5798995538702E+018,base_link,0
1.57989955389368E+018,27840,1.5798995538962E+018,base_link,4096
1.57989955389647E+018,27841,1.5798995538972E+018,base_link,4
1.57989955390054E+018,27842,1.5798995538992E+018,base_link,0
1.5798995539421E+018,27843,1.5798995539422E+018,base_link,256
1.57989955394444E+018,27844,1.5798995539432E+018,base_link,0
1.57989955394649E+018,27845,1.5798995539462E+018,base_link,256
1.57989955394862E+018,27846,1.5798995539482E+018,base_link,0
1.57989955395152E+018,27847,1.5798995539492E+018,base_link,16
1.57989955395445E+018,27848,1.5798995539522E+018,base_link,0
1.57989955401137E+018,27849,1.5798995540132E+018,base_link,16384
1.57989955401364E+018,27850,1.5798995540162E+018,base_link,0
1.57989955401981E+018,27851,1.5798995540212E+018,base_link,1
1.57989955402242E+018,27852,1.5798995540232E+018,base_link,0
1.5798995540338E+018,27853,1.5798995540362E+018,base_link,1
